,Varones,% Varones,Mujeres,% Mujeres,Total Fila
Con conyuge,3963047.2125965296,86.97437905140603,1514020.651777642,42.8496333346274,5477067.864374172
Sin conyuge,593521.3491107968,13.025620948593977,2019313.3208940455,57.1503666653726,2612834.6700048423
Total Col,4556568.561707326,100.0,3533333.9726716876,100.0,8089902.534379015
