PROVINCIA,Agrupamiento,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Buenos Aires,Adm publica,7.049894451070666,7.923178987413841,112.38720015461436,309.0,278.0,296974.9555382912,249662.45029540404,546637.4058336952
Buenos Aires,Comercio,19.01924586585409,19.27224215834043,101.33021200877661,784.0,606.0,801180.7459792607,607275.8431408565,1408456.589120117
Buenos Aires,Enseñanza,5.882142692081678,23.549165888990846,400.3501295657424,260.0,830.0,247783.71883079002,742043.3726914256,989827.0915222156
Buenos Aires,Hoteleria y comidas,3.397956901242135,2.922684846345096,86.0130052054721,148.0,106.0,143138.04365030737,92094.93580024946,235232.97945055683
Buenos Aires,Otras,3.249237728464481,2.1633406271755415,66.5799429885941,131.0,69.0,136873.2874855356,68167.704233643,205040.99171917862
Buenos Aires,Produccion,43.04394556153359,11.039811753889984,25.647769064543564,1798.0,372.0,1813214.9223011015,347868.76046275196,2161083.6827638536
Buenos Aires,Servicio domestico,0.40542808946101977,16.41439503498391,4048.657570028109,13.0,547.0,17078.551980785367,517223.96919981996,534302.5211806053
Buenos Aires,Servicios,15.735880932624852,15.551568292378729,98.82871101379529,664.0,520.0,662869.8589398593,490035.96308744967,1152905.8220273089
CABA,Adm publica,8.377394604538505,10.83539095193094,129.3408209046378,51.0,65.0,67110.4894313779,81600.27233400747,148710.76176538537
CABA,Comercio,17.271194794915637,11.989874995793205,69.42122498278366,121.0,72.0,138357.85354118535,90294.57905559732,228652.4325967827
CABA,Enseñanza,10.573659707124548,23.810685015628206,225.18868277541154,80.0,157.0,84704.55452122743,179315.94626849014,264020.50078971754
CABA,Hoteleria y comidas,4.454252768094545,2.205010331142946,49.503484556091166,36.0,17.0,35682.583598956786,16605.71771879627,52288.30131775305
CABA,Otras,4.073680595236508,1.6520914170094543,40.555251654764014,29.0,14.0,32633.85711654551,12441.739310257517,45075.59642680303
CABA,Produccion,21.42003520197088,10.635997705380053,49.65443616265123,148.0,76.0,171593.80856463773,80098.6612438036,251692.46980844132
CABA,Servicio domestico,0.23911239743217141,8.282796543052552,3463.976201987652,3.0,52.0,1915.5060467236003,62376.93283045018,64292.43887717379
