REGION,Mujer,Varon,Fraccion_CUIDADO
Cuyo,0.0001917733451898365,0.000110354089298591,57.544018533624396
Gran Buenos Aires,2.732457246433195e-05,1.9121929966202656e-05,69.98071055334319
Noreste,0.00024602347373330166,0.0001256620360346083,51.07725459190553
Noroeste,0.00022313804509096281,0.00010617222456336757,47.581408414726496
Pampeana,0.0001540792968326922,0.00010126126876804497,65.72023032919215
Patagonia,0.00041774523222625593,0.00022324583401832202,53.440665936172635
