PROVINCIA,CAT_OCUP,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Santiago del Estero,2.0,26.076548417455164,27.208691734110296,104.34161491977709,326.0,225.0,44503.85194241785,30011.296826107307,74515.14876852516
Santiago del Estero,3.0,65.60738507167731,68.20549092738743,103.96008140374995,775.0,574.0,111969.62515194973,75230.93184322582,187200.55699517555
Santiago del Estero,4.0,0.3525326741138216,1.0536282293749917,298.873921977175,4.0,7.0,601.6540871308025,1162.1561905711642,1763.8102777019667
TdF,1.0,3.038670259666203,2.178770358734992,71.70144084584976,10.0,7.0,1311.5871123412169,619.9230886095809,1931.5102009507978
TdF,2.0,13.73675316786568,11.415174927022626,83.09951258151808,61.0,31.0,5929.221297727832,3247.946929977142,9177.168227704975
TdF,3.0,83.12807219238981,86.40605471424237,103.94329188131066,352.0,262.0,35880.730334092135,24585.017919980248,60465.74825407239
TdF,4.0,0.09650438007830257,,,1.0,,41.65437193869276,,
Tucumán,1.0,4.094975575356381,2.336475688261269,57.05713368163199,66.0,25.0,13106.165186795433,5242.586809483119,18348.75199627855
Tucumán,2.0,24.190044561357443,25.7262112362519,106.3504086195377,341.0,283.0,77421.3946000158,57724.50206212846,135145.89666214425
Tucumán,3.0,70.3698657301966,69.84554327059065,99.25490484575282,1080.0,781.0,225222.12097743872,156719.50951224068,381941.6304896794
Tucumán,4.0,1.345114133089584,2.0917698048961726,155.50872252688328,22.0,30.0,4305.102118180758,4693.515469781975,8998.617587962734
