REGION,Mujer,Varon,N_m,N_v,N_pob_v,N_pob_m,N_pob_tot,TCS TNR,LI,LS,ME,ER
Cuyo,366.3980409460557,155.7855066290673,935,701,779446,853269,1632715,42.51810578103047,,,,
Gran Buenos Aires,369.9193263213296,170.36789221576348,1175,993,5846495,6323252,12169747,46.05541805830761,,,,
Noreste,347.9404389814454,150.39023453235262,746,546,536216,598613,1134829,43.222982350830584,,,,
Noroeste,352.69039364426425,128.00753850402361,1397,1104,1032035,1136737,2168772,36.294591746986015,,,,
Pampeana,345.5492120894187,178.6673307289683,2617,2008,2428487,2687805,5116292,51.70532140664643,,,,
Patagonia,314.98733578447184,160.67429633945935,1185,943,458211,465090,923301,51.00976391298466,,,,
