,Combinación,Varones,% Varones,Mujeres,% Mujeres,Total Fila
0,PP07H == 1.0 y PP07I == 0.0,4551084.005907822,63.36807118765403,3440479.959344569,59.67253674611583,7991563.965252392
1,PP07H == 2.0 y PP07I == 0.0,30078.55153932085,0.41880567194342594,14683.71563810021,0.2546780017143231,44762.26717742106
2,PP07H == 2.0 y PP07I == 1.0,291524.22977210704,4.059105066209372,259549.89394910148,4.501697660543495,551074.1237212085
3,PP07H == 2.0 y PP07I == 2.0,2292156.8905993425,31.915376826316646,2044051.9885603865,35.45254407515209,4336208.879159729
4,PP07H == 2.0 y PP07I == 9.0,17139.173498662483,0.2386412478765383,6834.745344833207,0.118543516474254,23973.91884349569
Total Col,,7181982.851317255,100.0,5765600.302836991,100.0,12947583.154154249
