REGION,Mujer,Varon,Fraccion_DOMESTICO
Cuyo,76.89761489258703,79.1124585934715,102.88025019238664
Gran Buenos Aires,78.95048225297843,80.81093843036703,102.3564848805194
Noreste,75.43607435009093,80.06740974188871,106.13941729033279
Noroeste,75.36089451525145,81.18269141593625,107.72522266108
Pampeana,77.24473068766662,79.4360461763804,102.83684785901346
Patagonia,78.1625126527829,80.97402529419249,103.59700903411206
