Provincia,Mujer,Varon,TCS TNR
Buenos Aires,0.00027836717706378384,0.00021456306851215913,77.07915522777137
CABA,0.00013771771538606274,0.00010905650380537327,79.1884351985191
Catamarca,0.0008459344721027015,0.0006190756916610563,73.18246413605152
Chaco,0.0008821267170118868,0.0006405798927907833,72.61767277162646
Chubut,0.001885620830299994,0.0013112458401978745,69.53921059459557
Corrientes,0.0008821267170118868,0.0006405798927907833,72.61767277162646
Córdoba,0.0006900225216527521,0.000523361557555007,75.84702544221943
Entre Ríos,0.0006900225216527521,0.000523361557555007,75.84702544221943
Formosa,0.0008821267170118868,0.0006405798927907833,72.61767277162646
Jujuy,0.0008459344721027015,0.0006190756916610563,73.18246413605152
La Pampa,0.0006900225216527521,0.000523361557555007,75.84702544221943
La Rioja,0.0008459344721027015,0.0006190756916610563,73.18246413605152
Mendoza,0.0007912640196197379,0.0005643306525143519,71.32014580740767
Misiones,0.0008821267170118868,0.0006405798927907833,72.61767277162646
Neuquén,0.001885620830299994,0.0013112458401978745,69.53921059459557
Río Negro,0.001885620830299994,0.0013112458401978745,69.53921059459557
Salta,0.0008459344721027015,0.0006190756916610563,73.18246413605152
San Juan,0.0007912640196197379,0.0005643306525143519,71.32014580740767
San Luis,0.0007912640196197379,0.0005643306525143519,71.32014580740767
Santa Cruz,0.001885620830299994,0.0013112458401978745,69.53921059459557
Santa Fe,0.0006900225216527521,0.000523361557555007,75.84702544221943
Santiago del Estero,0.0008459344721027015,0.0006190756916610563,73.18246413605152
TdF,0.001885620830299994,0.0013112458401978745,69.53921059459557
Tucumán,0.0008459344721027015,0.0006190756916610563,73.18246413605152
