,Varones,Mujeres,Total V + M,% Varones,% Mujeres,Ratio
PP03C==0 | PP03C==1,9576565.86470549,6685310.472183911,16261876.336889401,92.83640035895752,86.29784598491811,0.9295690661339981
PP03C==2,738291.838074147,980332.5920734484,1718624.4301475952,7.1570913445923425,12.654698894950986,1.7681343279923976
PP03D>1 & PP04B1==1 & PP04B2>2,671.3652121445546,81144.11899663908,81815.48420878363,0.006508296450133074,1.0474551201309097,160.94151951383415
Total Col,10315529.067991782,7746787.183253998,18062316.25124578,100.0,100.0,1.0
