PROVINCIA,INTENSI,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Santa Cruz,1.0,0.09979052532232917,0.10496028644254216,1.051806131930004,55,55,9083.051641119862,7450.7056077354155,16533.757248855276
Santa Cruz,2.0,0.4876006551918465,0.6559103882573376,1.345179464533881,302,334,44381.98834053445,46560.42178997025,90942.4101305047
Santa Cruz,3.0,0.3664504722316865,0.19098685242746422,0.5211805329772198,216,101,33354.755398290145,13557.383088545797,46912.138486835946
Santa Cruz,4.0,0.046158347254137845,0.04814247287265596,1.0429851963198324,25,24,4201.387360411698,3417.439154940822,7618.82651535252
Santa Fe,1.0,0.08159477038384498,0.1726950713056262,2.1164968109257436,167,251,64676.0348903708,105001.85226515146,169677.88715552227
Santa Fe,2.0,0.5233601746032089,0.5807298634482961,1.1096179870556306,1073,907,414841.05848491314,353094.6822439686,767935.7407288817
Santa Fe,3.0,0.3734476707902146,0.21726816633671164,0.581790123036442,636,320,296013.02230685274,132103.13259741833,428116.15490427107
Santa Fe,4.0,0.02159738422273144,0.029306898909365987,1.35696520500479,47,49,17119.15076124392,17819.145887406237,34938.296648650154
Santiago del Estero,1.0,0.050685192651399924,0.09090881245402323,1.7935970585979875,57,80,8650.248772651647,10027.278714199541,18677.527486851188
Santiago del Estero,2.0,0.48947869994285864,0.6414701604438862,1.3105170061920384,570,534,83537.4653213021,70754.41766293233,154291.88298423443
Santiago del Estero,3.0,0.4459855241086518,0.24575401018079587,0.5510358451027322,550,196,76114.65066483695,27106.766535547402,103221.41720038436
Santiago del Estero,4.0,0.013850583297089691,0.02186701692129475,1.57877949630392,18,20,2363.8262951901856,2411.9407942858484,4775.767089476034
Tucumán,1.0,0.13465588521872324,0.2369495333912269,1.759667117455333,204,261,43097.26010751998,53166.763279889004,96264.02338740899
Tucumán,2.0,0.4694435714553884,0.5558551853813359,1.184072419307076,702,625,150247.66033770717,124722.84978199714,274970.5101197043
Tucumán,3.0,0.364202389468023,0.15871468587692464,0.4357870526570496,555,175,116564.71668645057,35612.41928730815,152177.1359737587
Tucumán,4.0,0.0316981538578654,0.04848059535051242,1.5294453919272246,48,58,10145.145750752996,10878.081504439948,21023.22725519294
TdF,1.0,0.03129332101090835,0.0800330930568077,2.5575135674768887,11,20,1350.719658037943,2277.172628122252,3627.892286160195
TdF,2.0,0.6929278729393389,0.6777145772812547,0.9780449073385507,304,213,29908.979595209006,19282.936921716828,49191.916516925834
TdF,3.0,0.250504200995084,0.15770762430306381,0.6295607964920266,101,46,10812.561203945112,4487.237361352696,15299.798565297808
TdF,4.0,0.025274605054668713,0.08454470535887375,3.3450455576261,8,21,1090.9326589078198,2405.5410273751972,3496.473686283017
