PROVINCIA,Agrupamiento,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Buenos Aires,Adm publica,7.049894451070666,7.923178987413841,112.38720015461436,309.0,278.0,296974.9555382912,249662.45029540404,546637.4058336952
Buenos Aires,Comercio,21.48697347429647,21.468996935117126,99.91633750001671,908.0,694.0,905133.1245409696,676496.440219305,1581629.5647602747
Buenos Aires,Enseñanza,5.84253767364163,23.53867449278311,402.8844280966622,258.0,828.0,246115.36781192615,741712.7847180371,987828.1525299633
Buenos Aires,Otras,3.249237728464481,2.1633406271755415,66.5799429885941,131.0,69.0,136873.2874855356,68167.704233643,205040.99171917862
Buenos Aires,Produccion,42.73293805531486,11.003439930659193,25.749317578903643,1784.0,368.0,1800113.812635927,346722.6701719816,2146836.4828079087
Buenos Aires,Servicio domestico,0.40542808946101977,16.41439503498391,4048.657570028109,13.0,547.0,17078.551980785367,517223.96919981996,534302.5211806053
Buenos Aires,Servicios,15.642859908029525,15.551568292378729,99.41640073370512,660.0,520.0,658951.3726653409,490035.96308744967,1148987.3357527906
CABA,Adm publica,8.377394604538505,10.83539095193094,129.3408209046378,51.0,65.0,67110.4894313779,81600.27233400747,148710.76176538537
CABA,Comercio,20.710092682457105,13.688076134188723,66.09374638764162,149.0,85.0,165906.52842542797,103083.5661798968,268990.0946053248
CABA,Enseñanza,10.573659707124548,23.64459319723795,223.6178754769854,80.0,156.0,84704.55452122743,178065.1249854168,262769.67950664426
CABA,Otras,4.073680595236508,1.6520914170094543,40.555251654764014,29.0,14.0,32633.85711654551,12441.739310257517,45075.59642680303
CABA,Produccion,21.274620829978723,10.520081103297036,49.44897108799639,147.0,75.0,170428.908242351,79225.70462045986,249654.61286281084
CABA,Servicio domestico,0.23911239743217141,8.282796543052552,3463.976201987652,3.0,52.0,1915.5060467236003,62376.93283045018,64292.43887717379
CABA,Servicios,31.056858015999556,27.93765660431592,89.95648107713691,220.0,180.0,248793.45429489398,210395.7667424912,459189.22103738517
Catamarca,Adm publica,22.317416883299565,20.067565607666833,89.91885446511363,256.0,174.0,16754.890687348176,11575.241093658156,28330.131781006334
Catamarca,Comercio,19.8786317652572,19.807692946569187,99.64314033518143,192.0,168.0,14923.962929158177,11425.343055965606,26349.305985123785
Catamarca,Enseñanza,9.995518067238947,30.538641006775208,305.52334357603604,106.0,253.0,7504.175481228083,17615.097876697433,25119.273357925515
Catamarca,Otras,1.97904921704222,1.5895106227242133,80.31688191665137,25.0,14.0,1485.7791773042313,916.8510540179392,2402.6302313221704
Catamarca,Produccion,37.601915974963326,7.781120458948908,20.6934148359085,385.0,61.0,28229.78999271244,4488.2546818094825,32718.044674521923
Catamarca,Servicio domestico,0.5316341217667857,13.963815378726697,2626.5837362584234,5.0,105.0,399.1264599503194,8054.5160661809605,8453.64252613128
Catamarca,Servicios,7.441710319909955,5.952880878320036,79.99345073125697,78.0,54.0,5586.894020441304,3433.7015617906504,9020.595582231954
Chaco,Adm publica,9.601798239152098,11.351743539669325,118.22518300146827,88.0,72.0,23980.30502085675,17534.54865516487,41514.85367602162
Chaco,Comercio,19.70601304749205,19.527804472336268,99.09566397461377,205.0,120.0,49215.385686501584,30163.757351648273,79379.14303814986
Chaco,Enseñanza,7.971100266946331,27.091732672291037,339.8744434897151,65.0,167.0,19907.668437957665,41847.43101664934,61755.099454607
Chaco,Otras,4.651527655187471,1.6799687654135014,36.11649526666725,41.0,14.0,11617.100172914726,2594.97529638151,14212.075469296236
Chaco,Produccion,45.48965548667375,9.881153228726854,21.72175876693889,353.0,56.0,113609.53299519197,15262.99122709898,128872.52422229096
Chaco,Servicio domestico,0.26998303333575585,17.397982148235226,6444.102036070828,3.0,108.0,674.2773935249115,26873.912664944408,27548.19005846932
Chaco,Servicios,10.594710986987412,11.76885544783385,111.08236423144095,105.0,76.0,26460.085366073676,18178.84343004247,44638.928796116146
Chubut,Adm publica,10.991703374336733,12.356455160927148,112.4161992014524,158.0,146.0,15449.565997497013,12642.454342927087,28092.0203404241
Chubut,Comercio,18.545701302220074,17.21547106703942,92.82728534497957,220.0,167.0,26067.20964718581,17613.93572205521,43681.145369241014
Chubut,Enseñanza,6.893208560150621,27.82343570443853,403.63548355819046,83.0,265.0,9688.860493925462,28467.42945088614,38156.2899448116
Chubut,Otras,3.432390144725391,2.6293623486130335,76.60441376845277,42.0,24.0,4824.45133971723,2690.220861114474,7514.672200831705
Chubut,Produccion,46.507660992577556,11.316129068243104,24.331752719297395,542.0,107.0,65369.59317621704,11578.049142793063,76947.6423190101
Chubut,Servicio domestico,0.1660535488121457,17.73988954987817,10683.234219792006,3.0,174.0,233.39924433201352,18150.492253805576,18383.89149813759
Chubut,Servicios,10.798922246222755,9.72267803277831,90.0337812523755,125.0,91.0,15178.599372904257,9947.716518979132,25126.315891883387
Corrientes,Adm publica,11.306797591959636,9.462409593012357,83.68779502819754,123.0,67.0,26056.25644749799,14610.495731893876,40666.75217939187
Corrientes,Comercio,25.846284662655762,23.965937298961304,92.72488333144726,267.0,170.0,59562.17186235774,37004.763023140156,96566.9348854979
Corrientes,Enseñanza,7.419166924465956,25.096191980723027,338.26158969363655,64.0,169.0,17097.300490118298,38749.94019408268,55847.24068420098
Corrientes,Otras,3.02403681609582,2.0767025139449555,68.67318886104304,31.0,15.0,6968.823678501141,3206.54616756521,10175.36984606635
Corrientes,Produccion,37.44524203844607,9.050964929029547,24.17120156343674,336.0,62.0,86291.70384956744,13975.201893898262,100266.9057434657
Corrientes,Servicio domestico,0.4106194032453624,16.631559784017703,4050.358958336815,4.0,112.0,946.2630233062673,25680.069209704434,26626.3322330107
Corrientes,Servicios,11.543005622514062,11.770184789140078,101.96811102805768,120.0,71.0,26600.592451483877,18173.831193306785,44774.42364479066
Córdoba,Adm publica,7.291768047497346,4.865022156409257,66.71937621601954,136.0,85.0,65830.58980244289,30108.905154204705,95939.4949566476
Córdoba,Comercio,20.924598390933465,26.60368122147122,127.14070169680521,470.0,379.0,188908.73166586403,164646.26242137738,353554.9940872414
Córdoba,Enseñanza,4.536775107983317,21.693030667630964,478.15970929345735,112.0,344.0,40958.32166001054,134254.96983985574,175213.2914998663
Córdoba,Otras,5.581280578684919,1.8655006887337726,33.42424130867344,69.0,21.0,50388.18979902304,11545.308838561376,61933.49863758442
Córdoba,Produccion,46.511082655173716,13.757320545587879,29.578585920225976,859.0,183.0,419905.2936950092,85142.02940214775,505047.32309715694
Córdoba,Servicio domestico,0.12276540243165798,14.666743566120225,11946.968181271612,4.0,229.0,1108.3346037294864,90770.3144520289,91878.64905575839
Córdoba,Servicios,13.236417142204552,14.909178917163471,112.63757221450274,324.0,263.0,119499.29587263222,92270.71111126528,211770.0069838975
Entre Ríos,Adm publica,10.4785944801427,7.049438283558756,67.2746549827621,155.0,92.0,31244.955768583794,15387.307419885852,46632.263188469646
Entre Ríos,Comercio,22.22577773931579,18.720904242586283,84.23059234264886,375.0,215.0,66272.57536335532,40863.441478843255,107136.01684219859
Entre Ríos,Enseñanza,6.110864686631933,28.194550436849415,461.38397563486444,103.0,344.0,18221.307943869895,61542.23892549139,79763.54686936128
Entre Ríos,Otras,2.5780266610883453,1.5290444161867345,59.31065179679832,42.0,18.0,7687.131050693943,3337.553368670338,11024.684419364281
Entre Ríos,Produccion,44.94456770253997,10.858415131785689,24.159571861166313,636.0,87.0,134015.20905930287,23701.430526061595,157716.63958536446
Entre Ríos,Servicio domestico,0.4625424531251703,20.82469973594707,4502.22451912141,8.0,229.0,1379.2039110183578,45455.54466533582,46834.74857635418
Entre Ríos,Servicios,11.843163323131211,12.119503663052141,102.33333217132285,210.0,131.0,35313.81187549394,26454.097637077586,61767.909512571525
