REGION,Mujer,Varon,Fraccion_TNROTROSHOGARES_VOLUNTARIAS
Cuyo,4.465197638026764,5.417208045480012,121.32067793249921
Gran Buenos Aires,5.384935993931428,5.019699346850464,93.21743754257118
Noreste,3.524918683614521,4.225821918600247,119.88423841502653
Noroeste,4.760598357940735,4.894379514526897,102.81017524536624
Pampeana,5.506801039036659,5.194470001062885,94.32826725062847
Patagonia,4.52114351733907,5.239760659199578,115.89458815241176
