"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOQTVHKOKSCDEGKDB00661293";3;2020;14;1;30;74000;"24666,67";1;180;2;1;2;0;2;2;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;3;0;0;0;140
"TQRMNOQTWHKOKSCDEGKDB00661294";3;2020;14;1;30;33000;6600;1;145;3;3;2;0;2;2;2;0;0;0;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;1;;3;2;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;140
"TQRMNOSXYHKOKSCDEGKDB00661295";3;2020;14;1;30;45000;22500;1;186;2;2;2;0;1;1;1;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;0;2;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;140
"TQRMNOSYVHKOKSCDEGKDB00661296";3;2020;14;1;30;21000;5250;1;159;2;2;2;0;2;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;140
"TQRMNORXXHJMKSCDEGKDB00661450";3;2020;14;1;30;47200;"15733,33";1;72;3;2;2;0;2;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;67
"TQSMNORYPHJMKSCDEGKDB00661452";3;2020;14;1;30;59000;29500;1;88;2;1;2;0;2;2;2;0;0;0;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;67
"TQRMNORYPHJMKSCDEGKDB00661451";3;2020;14;1;30;17000;17000;1;76;3;1;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;67
"TQRMNORYQHJMKSCDEGKDB00661453";3;2020;14;1;30;57000;11400;1;83;4;3;2;0;2;1;1;2;0;2;0;6;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;5;2;3;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;67
"TQSMNORYQHJMKSCDEGKDB00661454";3;2020;14;1;30;16000;16000;1;76;2;1;2;0;2;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;67
"TQRMNOQVPHJLKTCDEGKDB00661455";3;2020;14;1;30;43000;21500;1;165;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;99
"TQRMNOQVSHJLKTCDEGKDB00661456";3;2020;14;1;30;66500;13300;1;175;2;1;2;0;2;2;2;0;0;0;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;5;1;4;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;99
"TQRMNOSXRHJLKTCDEGKDB00661457";3;2020;14;1;30;0;0;1;0;4;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;0;5;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;99
"TQRMNORXQHKKKMCDEHNHB00662759";3;2020;27;1;70;118000;59000;1;206;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;193
"TQRMNORXTHKKKMCDEHNHB00662760";3;2020;27;1;70;26000;26000;1;198;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;0;1;2;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;193
"TQRMNOPQSHKKKNCDEHNHB00662761";3;2020;27;1;70;86000;86000;1;317;4;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;96;0;1;0;0;0;309
"TQRMNOPQUHKKKNCDEHNHB00662796";3;2020;27;1;70;50000;50000;1;320;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;;4;4;"PLEXIPLAX";1;1;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;309
"TQRMNOQPVHKKKNCDEHNHB00662797";3;2020;27;1;70;220000;44000;1;341;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;0;5;1;;5;1;;2;1;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;309
"TQRMNOQPXHKKKNCDEHNHB00662798";3;2020;27;1;70;66000;16500;1;318;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;1;;4;1;;1;2;1;1;;1;1;1;2;2;2;2;3;0;98;0;0;0;309
"TQRMNOPUVHKMKOCDEHNHB00662799";3;2020;27;1;70;102500;25625;1;112;5;3;1;1;1;1;1;2;0;1;1;3;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;1;3;1;;5;1;;2;1;1;1;;1;1;1;3;2;2;2;2;0;98;0;0;0;110
"TQRMNOPUWHKMKOCDEHNHB00662800";3;2020;27;1;70;42290;"14096,67";1;112;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;4;1;;2;1;1;1;;1;1;1;2;2;2;2;1;3;98;0;0;0;110
"TQRMNORQXHKMKOCDEHNHB00662801";3;2020;27;1;70;16864;16864;1;108;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;110
"TQRMNORQXHKMKOCDEHNHB00662801";3;2020;27;2;70;31586;"7896,5";1;112;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;2;0;3;0;0;0;110
"TQRMNORQYHKMKOCDEHNHB00662802";3;2020;27;1;70;41864;20932;1;112;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;1;0;96;0;0;0;110
"TQRMNOQPVHJMKPCDEHNHB00659029";3;2020;27;2;70;32000;32000;1;140;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;140
"TQRMNOQPWHJMKPCDEHNHB00662829";3;2020;27;1;70;23000;23000;1;141;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;140
"TQRMNORVWHLMKSCDEHNHB00637977";3;2020;27;2;70;128500;32125;1;328;3;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;4;0;1;0;0;0;312
"TQRMNOQQRHJKKRCDEHNHB00662722";3;2020;27;1;70;135000;67500;1;152;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;145
"TQRMNOQQSHJKKRCDEHNHB00662723";3;2020;27;1;70;50592;25296;1;155;5;1;1;1;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;5;1;;1;2;1;1;;1;1;1;1;2;2;2;2;0;96;0;0;0;145
"TQRMNOQQTHJKKRCDEHNHB00662724";3;2020;27;1;70;240000;120000;1;150;7;1;1;1;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;7;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;145
"TQRMNOPRWHLOKTCDEHNHB00644209";3;2020;27;2;70;72000;24000;1;197;4;2;1;1;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;1;;4;1;;1;2;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;191
"TQRMNOPPRHKOKPCDEHNHB00662762";3;2020;27;1;70;65290;"10881,67";1;569;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;6;2;4;1;;4;2;;2;2;1;1;;1;1;1;2;2;2;2;1;2;3;0;0;0;578
"TQRMNOPPXHKOKPCDEHNHB00662763";3;2020;27;1;70;44950;8990;1;597;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1;;3;1;;1;1;1;1;;1;1;1;2;2;2;2;1;0;2;0;0;0;578
"TQRMNOQQYHKOKPCDEHNHB00662764";3;2020;27;1;70;55290;18430;1;583;3;2;1;1;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;3;1;;1;2;1;1;;1;1;1;2;2;2;2;1;0;2;0;0;0;578
"TQRMNOQPTHKMKNCDEIGED00663029";3;2020;30;1;42;7200;7200;1;282;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;203
"TQRMNOQPUHKMKNCDEIGED00663030";3;2020;30;1;42;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;203
"TQRMNORRRHKMKNCDEIGED00662958";3;2020;30;1;42;0;0;1;0;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;203
"TQRMNORSSHKMKNCDEIGED00662959";3;2020;30;1;42;30800;"10266,67";1;201;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;203
"TQRMNOPRPHJMKOCDEIGED00662960";3;2020;30;1;42;58000;29000;1;95;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;75
"TQRMNOPVVHMMKPCDEIGED00644551";3;2020;30;2;42;37100;37100;1;240;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;220
"TQRMNOPSWHKMKOCDEIGED00662961";3;2020;30;1;42;10500;10500;1;119;2;1;2;0;2;2;2;0;0;0;0;6;;1;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;120
"TQRMNOPTSHKMKOCDEIGED00662976";3;2020;30;1;42;125000;25000;1;170;4;3;2;0;2;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;120
"TQRMNOQVUHKMKOCDEIGED00662977";3;2020;30;1;42;27000;6750;1;164;4;3;2;0;2;2;1;2;0;1;1;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;120
"TQRMNORSVHKLKMCDEGKDB00661310";3;2020;14;1;30;20000;20000;1;109;4;1;2;0;2;2;2;0;0;0;0;6;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;96;0;98;0;0;0;67
"TQRMNOQQPHKLKNCDEGKDB00661311";3;2020;14;1;30;44000;"14666,67";1;158;5;3;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;3;0;0;0;97
"TQRMNOQQQHKLKNCDEGKDB00661312";3;2020;14;1;30;0;0;1;0;8;4;2;0;2;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;6;0;6;1;;8;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;5;0;97
"TQRMNOQQRHKLKNCDEGKDB00661313";3;2020;14;1;30;30000;15000;1;161;6;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;1;2;96;0;0;0;97
"TQRMNORRWHKLKNCDEGKDB00661314";3;2020;14;51;30;21000;21000;1;168;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;97
