"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPRPHJOKOCDEGPDJ00658249";3;2020;19;1;38;32700;8175;1;333;3;2;2;0;1;2;2;2;0;2;0;1;;2;;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;4;2;2;1;;3;2;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;331
"TQRMNOQURHJOKOCDEGPDJ00658250";3;2020;19;1;38;22000;22000;1;322;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;1;;3;2;;1;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;320
"TQRMNOQUTHJOKOCDEGPDJ00658251";3;2020;19;1;38;83500;"10437,5";1;330;4;4;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;8;1;7;1;;4;2;;2;1;1;1;;1;1;1;1;2;2;2;2;3;4;5;6;0;331
"TQRMNOPRPHJKKPCDEGPDJ00658252";3;2020;19;1;38;123000;61500;1;288;3;2;1;1;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;288
"TQRMNOQUTHJKKPCDEGPDJ00658253";3;2020;19;1;38;118000;29500;1;369;3;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;369
"TQRMNOQUVHJKKPCDEGPDJ00658254";3;2020;19;1;38;130000;26000;1;369;4;2;2;0;1;1;2;2;0;2;0;3;;4;"ELECTRICIDAD";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;369
"TQRMNORTUHJKKPCDEGPDJ00658259";3;2020;19;1;38;55000;11000;1;295;3;2;1;1;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;3;98;0;0;0;295
"TQRMNOPRPHJOKQCDEGPDJ00658269";3;2020;19;1;38;63000;31500;1;66;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;97;0;0;0;65
"TQRMNOPRQHJOKQCDEGPDJ00658270";3;2020;19;1;38;54000;27000;1;65;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;1;2;2;2;0;97;0;0;0;65
"TQRMNOPRSHJOKQCDEGPDJ00658271";3;2020;19;2;38;55400;27700;1;66;5;2;1;1;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;99;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;98;0;0;0;66
"TQRMNOPRSHJOKQCDEGPDJ00658271";3;2020;19;1;38;30000;15000;1;84;5;3;1;1;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;99;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;1;0;0;0;84
"TQRMNOQTPHJLKOCDEFNFF00657439";3;2020;7;1;54;0;0;1;0;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;127
"TQRMNOPRSHJOKPCDEFNFF00657417";3;2020;7;1;54;20000;20000;1;95;3;1;2;0;1;2;2;2;0;2;0;6;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;109
"TQRMNOPSQHJOKPCDEFNFF00657418";3;2020;7;1;54;0;0;1;0;4;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;99
"TQRMNOQXVHJOKPCDEFNFF00657419";3;2020;7;1;54;0;0;1;0;4;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;102
"TQRMNOQYRHJOKPCDEFNFF00657420";3;2020;7;1;54;25000;25000;1;94;2;1;2;0;1;2;2;2;0;2;0;3;;4;"COCINA ELECTRICA";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;2;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;102
"TQRMNOPYTHJMLNCDEGNFJ00658091";3;2020;17;1;58;0;0;1;0;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;97;0;98;0;0;0;580
"TQRMNOPYWHJMLNCDEGNFJ00658092";3;2020;17;1;58;48000;16000;1;1555;1;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;2;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;2;3;0;0;1102
"TQRMNOPPUHJMLPCDEGNFJ00658094";3;2020;17;1;58;16500;16500;1;315;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;1;1;2;2;2;2;1;0;1;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;273
"TQRMNOQTUHJOKOCDEHNHB00659017";3;2020;27;1;70;78000;15600;1;236;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;5;2;3;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;234
"TQRMNOQPPHJMKPCDEHNHB00659019";3;2020;27;1;70;14800;14800;1;182;3;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;1;;3;2;;2;1;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;183
"TQRMNORQTHJKKTCDEGIBJ00657739";3;2020;12;1;18;35000;35000;1;878;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;96;0;0;0;855
"TQRMNOPXPHLMLNCDEGIBJ00657741";3;2020;12;1;18;0;0;1;0;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;4;3;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;206
"TQRMNORTQHJLLMCDEGIBJ00657742";3;2020;12;1;18;30000;30000;1;523;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;507
"TQRMNOPTTHJOLOCDEGIBJ00657743";3;2020;12;1;18;47000;"15666,67";1;369;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;3;0;0;0;327
"TQRMNOTSUHJMLLCDEIMBF00659322";3;2020;36;1;14;0;0;1;0;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;3;98;0;0;0;182
"TQRMNOPUVHJLLMCDEIMBF00659323";3;2020;36;1;14;68000;34000;1;360;3;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;329
"TQRMNOPSWHJOKNCDEGPDJ00658223";3;2020;19;1;38;40000;"13333,33";1;143;2;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;1;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;142
"TQRMNOPSXHJOKNCDEGPDJ00658224";3;2020;19;1;38;31000;"10333,33";1;136;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;1;;2;2;;4;2;2;1;;1;2;2;3;1;2;2;1;0;98;0;0;0;135
"TQRMNOPSYHJOKNCDEGPDJ00658225";3;2020;19;1;38;34000;8500;1;143;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;4;0;4;1;;2;2;;4;1;1;1;;1;1;1;1;1;1;2;1;2;98;0;0;0;142
"TQRMNOPTQHJOKNCDEGPDJ00658226";3;2020;19;1;38;65500;"9357,14";1;135;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;0;7;1;;4;2;;4;1;1;1;;1;1;1;1;1;1;2;1;0;98;0;0;0;135
"TQRMNOQYWHJOKNCDEGPDJ00658227";3;2020;19;1;38;60000;"8571,43";1;172;5;4;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;7;3;4;1;;5;2;;2;1;1;1;;1;1;1;1;1;2;2;3;4;98;0;0;0;172
"TQRMNOQYXHJOKNCDEGPDJ00658228";3;2020;19;1;38;20500;10250;1;136;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;0;2;1;;2;2;;4;2;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;135
"TQRMNOQYYHJOKNCDEGPDJ00658229";3;2020;19;1;38;17000;17000;1;172;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;1;2;;4;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;172
"TQRMNORPPHJOKNCDEGPDJ00658230";3;2020;19;1;38;25000;12500;1;138;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;137
"TQRMNORRQHLMKMCDEGPDJ00658235";3;2020;19;1;38;0;0;1;68;4;1;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;2;2;1;0;1;1;;4;1;;4;2;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;68
"TQRMNOPQWHJOKOCDEGPDJ00658247";3;2020;19;1;38;49550;"12387,5";1;317;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;4;2;2;1;;2;2;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;315
"TQRMNOPQXHJOKOCDEGPDJ00658248";3;2020;19;1;38;72000;14400;1;319;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;2;3;1;;6;1;;1;1;1;1;;1;1;1;1;1;2;2;1;3;2;0;0;0;320
"TQRMNOPQXHJOKOCDEGPDJ00658248";3;2020;19;2;38;28000;"9333,33";1;402;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;3;1;2;1;;6;1;;1;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;401
"TQRMNOQYWHJOKQCDEGPDJ00658272";3;2020;19;1;38;59500;14875;1;69;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;1;1;1;2;2;2;2;4;1;3;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;4;98;0;0;0;69
"TQRMNORPPHJOKQCDEGPDJ00658278";3;2020;19;1;38;17600;17600;1;83;1;1;2;0;1;2;1;2;0;2;0;8;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;84
"TQRMNOQSRHJKKRCDEGPDJ00658212";3;2020;19;1;38;53000;26500;1;76;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;75
"TQRMNOQSTHJKKRCDEGPDJ00658213";3;2020;19;1;38;145000;72500;1;75;7;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;7;1;;2;1;1;1;;1;1;1;1;2;2;2;96;0;2;0;0;0;75
"TQRMNOQSUHJKKRCDEGPDJ00658214";3;2020;19;1;38;125000;"41666,67";1;77;4;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;1;;4;1;;2;1;1;1;;1;1;1;1;2;1;2;1;2;98;0;0;0;77
"TQRMNOSQUHJMKSCDEGPDJ00658231";3;2020;19;1;38;75000;15000;1;178;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;2;;3;1;;2;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;178
"TQRMNOSQVHJMKSCDEGPDJ00658232";3;2020;19;1;38;48500;12125;1;181;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;4;1;3;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;181
"TQRMNOSQYHJMKSCDEGPDJ00658233";3;2020;19;1;38;35000;35000;1;178;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;177
"TQRMNOTRRHJMKSCDEGPDJ00658234";3;2020;19;1;38;99000;24750;1;177;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;;3;2;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;177
"TQRMNOQSYHJLKOCDEFNFF00657438";3;2020;7;1;54;56000;"18666,67";1;172;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;127
"TQRMNOQSWHJLKOCDEFNFF00657437";3;2020;7;1;54;0;0;1;0;4;1;1;1;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;127
"TQRMNORQVHJKKMCDEHNHB00659015";3;2020;27;1;70;37000;18500;1;904;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;2;;2;1;;2;2;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;868
"TQRMNOQXYHJLKNCDEHNHB00658971";3;2020;27;1;70;36600;9150;1;131;3;2;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;2;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;132
"TQRMNOSVRHJLKNCDEHNHB00658972";3;2020;27;1;70;42000;21000;1;124;4;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;123
"TQRMNOSVSHJLKNCDEHNHB00658973";3;2020;27;1;70;46864;23432;1;136;2;1;1;1;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;2;1;;1;2;1;1;;1;1;1;1;1;2;2;2;0;98;0;0;0;132
"TQRMNOSVUHJLKNCDEHNHB00658974";3;2020;27;1;70;95864;47932;1;118;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;3;1;;1;1;1;1;;1;1;2;2;2;2;2;2;0;98;0;0;0;117
"TQRMNOTQVHJOKNCDEFNFF00657434";3;2020;7;1;54;16900;16900;1;206;4;3;2;0;1;2;2;2;0;2;0;6;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;97;0;98;0;0;0;223
"TQRMNOTQXHJOKNCDEFNFF00657435";3;2020;7;1;54;33150;6630;1;276;3;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;1;;3;2;;4;1;1;1;;1;1;1;3;2;2;2;2;0;1;3;0;0;299
"TQRMNOTQYHJOKNCDEFNFF00657436";3;2020;7;1;54;33600;16800;1;188;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;2;0;1;0;0;0;200
"TQRMNOPVRHLKKTCDEGPDJ00643237";3;2020;19;1;38;57000;28500;1;93;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;92
"TQRMNORPWHMMKQCDEIGED00644552";3;2020;30;1;42;75000;37500;1;293;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;2;1;;1;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;253
"TQRMNOPTTHMKKMCDEGGFB00641862";3;2020;10;1;50;0;0;1;0;4;1;2;0;1;2;1;2;0;2;0;6;;4;"electricidad";1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;0;2;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;96;0;98;0;0;0;276
"TQRMNOQUQHLLKOCDEHGHJ00643362";3;2020;20;1;78;3000;3000;1;534;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;1;1;;1;1;1;1;;1;1;1;1;2;1;2;1;0;98;0;0;0;429
"TQRMNOQVQHMOKMCDEFMDB00641237";3;2020;6;1;30;32600;6520;1;473;3;2;1;1;2;2;2;0;0;0;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;1;4;1;;3;1;;4;1;1;1;;1;1;1;1;1;1;2;1;2;3;4;0;0;333
"TQRMNOQVRHMOKMCDEFMDB00641238";3;2020;6;1;30;72000;14400;1;379;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;2;3;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;229
"TQRMNOQYWHLMPNCDEIJAH00645165";3;2020;33;1;6;0;0;1;0;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;7;3;4;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;9810
"TQRMNOQXTHMLKSCDEIIAD00644998";3;2020;32;1;2;94000;47000;1;6362;4;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;96;0;0;0;4813
"TQRMNOSYXHMLKSCDEIIAD00644827";3;2020;32;1;2;42000;8400;1;4294;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;0;5;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;3141
"TQRMNOPSWHLMLMCDEIOAH00646235";3;2020;38;1;6;42700;21350;1;433;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;411
"TQRMNOQYQHLMKSCDEGGFB00642037";3;2020;10;1;50;0;0;1;0;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;0;1;2;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;1;0;96;0;0;0;328
"TQRMNOSVUHMMLNCDEFNFF00641496";3;2020;7;1;54;28000;14000;1;187;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;188
"TQRMNOPYRHMMKPCDEOHCH00646382";3;2020;91;1;26;136000;"22666,67";1;32;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;6;1;5;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;0;98;0;0;0;30
"TQRMNOPQRHMMKPCDEIOAH00646252";3;2020;38;1;6;128000;"42666,67";1;362;3;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;305
"TQRMNOPQSHMMKPCDEIOAH00646190";3;2020;38;1;6;32000;16000;1;198;4;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;247
"TQRMNOPQTHMMKPCDEIOAH00646186";3;2020;38;1;6;47700;23850;1;253;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;227
"TQRMNOQQQHLOQPCDEIJAH00645488";3;2020;33;1;6;45000;15000;1;2829;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;2;1;;1;1;1;2;;1;1;1;2;1;1;2;1;2;3;0;0;0;1807
"TQRMNOPTRHMNLPCDEFOCD00641614";3;2020;8;1;22;40000;"13333,33";1;108;7;3;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;7;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;109
"TQRMNORTQHMOMMCDEHJGH00643682";3;2020;23;1;66;94000;"13428,57";1;341;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;7;2;5;1;;4;1;;2;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;330
"TQRMNORTRHMOMMCDEHJGH00643699";3;2020;23;1;66;59700;"8528,57";1;458;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;7;2;5;1;;3;1;;3;2;1;1;;1;1;1;1;1;2;2;3;4;98;0;0;0;445
